Station Name,Measurement Timestamp,Wind Direction,Wind Speed,Maximum Wind Speed,Heading
Oak Street Weather Station,2021-08-17 15:00:00.791363,95,2.1,3.0,357.0
63rd Street Weather Station,2021-12-13 17:00:00.818688,215,2.1,3.6,351.0
63rd Street Weather Station,2021-06-06 09:00:00.175793,242,2.3,4.3,353.0
Oak Street Weather Station,2021-07-26 05:00:00.193089,298,1.1,2.3,358.0
63rd Street Weather Station,2021-06-17 21:59:59.648882,195,4.8,9.1,352.0
63rd Street Weather Station,2021-08-27 23:59:59.439595,212,1.7,4.5,351.0
Oak Street Weather Station,2021-09-20 13:59:59.656483,120,0.8,2.8,358.0
Foster Weather Station,2021-06-01 02:59:59.402428,0,3.3,0.0,
Foster Weather Station,2021-12-17 00:00:00.345111,0,3.3,0.0,
Oak Street Weather Station,2021-07-17 03:00:00.754340,29,4.1,5.8,358.0
